,Rooms,Status,Area,Price
790,3,Ready to move,1125,22500000
791,4,Ready to move,4500,80000000
792,5,Ready to move,2000,27500000
793,3,Ready to move,1700,16500000
794,2,Ready to move,450,2800000
795,3,Ready to move,1860,15000000
796,4,Ready to move,2250,30000000
797,4,Ready to move,2250,31000000
798,4,Ready to move,5400,114500000
799,4,Ready to move,4500,156500000
800,4,Ready to move,7000,135000000
801,4,Ready to move,3600,91500000
802,4,Ready to move,3600,91000000
803,3,Ready to move,1818,33000000
804,4,Ready to move,3600,90000000
805,3,Ready to move,1160,19000000
806,3,Ready to move,1260,18500000
807,3,Ready to move,1260,19500000
808,3,Ready to move,1260,19000000
809,3,Ready to move,1143,18000000
810,3,Ready to move,1143,17500000
811,3,Ready to move,1143,15500000
812,3,Ready to move,1125,19500000
813,3,Ready to move,1260,19000000
814,3,Ready to move,1700,16500000
815,4,Ready to move,2400,28000000
816,3,Ready to move,1900,22900000
817,4,Ready to move,1800,17500000
818,3,Ready to move,1700,17100000
819,5,Ready to move,7200,180000000
820,4,Ready to move,5400,135100000
821,4,Ready to move,5000,172600000
822,4,Ready to move,3500,130000000
823,4,Ready to move,3240,52000000
824,3,Ready to move,1125,21000000
825,4,Ready to move,2250,30500000
826,3,Ready to move,2450,24000000
827,3,Ready to move,2050,18100000
828,4,Ready to move,2650,26000000
829,4,Ready to move,2650,21000000
830,4,Ready to move,2750,22500000
831,4,Ready to move,3350,34000000
832,3,Ready to move,2050,17800000
833,4,Ready to move,2450,21000000
834,4,Ready to move,2300,18500000
835,4,Ready to move,2800,23000000
836,4,Ready to move,2650,23000000
837,3,Ready to move,2000,18000000
838,3,Ready to move,1960,17900000
839,3,Ready to move,1950,15500000
840,3,Ready to move,2050,18300000
841,4,Ready to move,2680,25000000
842,4,Ready to move,2640,25500000
843,3,Ready to move,1880,16900000
844,3,Ready to move,2800,34000000
845,3,Ready to move,2080,20900000
846,3,Ready to move,2050,18100000
847,4,Ready to move,2650,26000000
848,4,Ready to move,2650,21000000
849,4,Ready to move,2750,22500000
850,3,Ready to move,1902,17000000
851,3,Ready to move,1950,21900000
852,4,Ready to move,2620,23200000
853,2,Ready to move,1700,12600000
854,4,Ready to move,2350,19500000
855,3,Ready to move,1850,16900000
856,4,Ready to move,2800,25000000
857,3,Ready to move,1950,15500000
858,4,Ready to move,2850,26500000
859,3,Ready to move,2850,24000000
